date,country,YoY_pct_change_in_new_postings_trend_from_feb1
2020-02-01,IE,0
2020-02-02,IE,-0.408163265306116
2020-02-03,IE,-0.169407075236661
2020-02-04,IE,0.230715217173239
2020-02-05,IE,2.75219971352569
2020-02-06,IE,2.93036552991628
2020-02-07,IE,3.73043301484042
2020-02-08,IE,3.15206445115812
2020-02-09,IE,4.87804878048781
2020-02-10,IE,5.79828501429156
2020-02-11,IE,5.91552183719499
2020-02-12,IE,5.4354539839407
2020-02-13,IE,5.53762881232436
2020-02-14,IE,5.32438947699403
2020-02-15,IE,6.16641901931649
2020-02-16,IE,5.10356609011318
2020-02-17,IE,4.35905715208267
2020-02-18,IE,4.90545650999461
2020-02-19,IE,5.73165436387322
2020-02-20,IE,4.90817312855762
2020-02-21,IE,4.56542707105347
2020-02-22,IE,3.43434343434343
2020-02-23,IE,3.33474039679189
2020-02-24,IE,3.80662751677852
2020-02-25,IE,3.60087673520511
2020-02-26,IE,4.17320363978664
2020-02-27,IE,5.72878131275765
2020-02-28,IE,6.85208866155156
2020-03-01,IE,8.01457194899817
2020-03-02,IE,7.15353405936365
2020-03-03,IE,5.91910207539179
2020-03-04,IE,4.60277427490543
2020-03-05,IE,2.62339278307757
2020-03-06,IE,0.828559738134205
2020-03-07,IE,-1.56968606278743
2020-03-08,IE,-3.40249778739306
2020-03-09,IE,-3.81326781326781
2020-03-10,IE,-3.73619873817034
2020-03-11,IE,-3.49262887107944
2020-03-12,IE,-3.3024967671342
2020-03-13,IE,-3.13187912747648
2020-03-14,IE,-3.46399270738378
2020-03-15,IE,-3.97337429595495
2020-03-16,IE,-5.38208709942482
2020-03-17,IE,-8.99476332272308
2020-03-18,IE,-14.5863420672581
2020-03-19,IE,-19.0818701078908
2020-03-20,IE,-24.2822966507177
2020-03-21,IE,-29.3270840308001
2020-03-22,IE,-35.630213689864
2020-03-23,IE,-40.4703115814227
2020-03-24,IE,-43.8347868217054
2020-03-25,IE,-44.2827186382139
2020-03-26,IE,-46.0104488245072
2020-03-27,IE,-46.6834688967809
2020-03-28,IE,-47.7853680035258
2020-03-29,IE,-47.7488025545503
2020-03-30,IE,-48.8845481649018
2020-03-31,IE,-49.8605855407289
2020-04-01,IE,-51.9578458861065
2020-04-02,IE,-53.8476505496644
2020-04-03,IE,-56.236642704488
2020-04-04,IE,-57.4537219377708
2020-04-05,IE,-58.3257964023716
2020-04-06,IE,-59.0675703429862
2020-04-07,IE,-59.4957983193277
2020-04-08,IE,-60.0634920634921
2020-04-09,IE,-60.0170593879945
2020-04-10,IE,-58.7398153177621
2020-04-11,IE,-58.0467977589806
2020-04-12,IE,-57.8831068390233
2020-04-13,IE,-58.9301405975395
2020-04-14,IE,-59.7845402043536
2020-04-15,IE,-59.8012337217272
2020-04-16,IE,-60.0886400746443
2020-04-17,IE,-61.2845990063875
2020-04-18,IE,-62.9123741173747
2020-04-19,IE,-64.6214689265537
2020-04-20,IE,-64.5543883429346
2020-04-21,IE,-63.5980011104942
2020-04-22,IE,-62.9281102965314
2020-04-23,IE,-61.5241228070175
