date,jobcountry,indeed_job_postings_index_SA,indeed_job_postings_index_NSA,variable
2021-08-07,CA,145.63,144.93,new postings
2021-08-08,CA,146.33,144.52,new postings
2021-08-09,CA,146.81,144.29,new postings
2021-08-10,CA,151.37,148.55,new postings
2021-08-11,CA,155.92,152.25,new postings
2021-08-12,CA,159.81,155.33,new postings
2021-08-13,CA,160.88,158.43,new postings
2021-08-14,CA,161.27,161.35,new postings
2021-08-15,CA,161.37,163.89,new postings
2021-08-16,CA,161.45,166.21,new postings
2021-08-17,CA,159.17,166.21,new postings
2021-08-18,CA,156.54,166.16,new postings
2021-08-19,CA,153.78,166.26,new postings
2021-08-20,CA,153.46,166.8,new postings
2021-08-21,CA,153.58,167.28,new postings
2021-08-22,CA,153.45,167.73,new postings
2021-08-23,CA,153.43,168.22,new postings
2021-08-24,CA,153.44,168.97,new postings
2021-08-25,CA,153.28,169.58,new postings
2021-08-26,CA,153.34,170.09,new postings
2021-08-27,CA,153.23,169.91,new postings
2021-08-28,CA,153.21,169.65,new postings
2021-08-29,CA,153.29,169.29,new postings
2021-08-30,CA,153.56,169.09,new postings
2021-08-31,CA,153.7,168.43,new postings
2021-09-01,CA,154.21,167.84,new postings
2021-09-02,CA,154.55,167.33,new postings
2021-09-03,CA,154.32,166.6,new postings
2021-09-04,CA,156.44,166.1,new postings
2021-09-05,CA,158.99,166.01,new postings
2021-09-06,CA,161.07,165.7,new postings
2021-09-07,CA,159.61,162.12,new postings
2021-09-08,CA,157.77,158.49,new postings
2021-09-09,CA,155.66,154.67,new postings
2021-09-10,CA,153.84,151.38,new postings
2021-09-11,CA,150.48,148.91,new postings
2021-09-12,CA,144.85,146.2,new postings
2021-09-13,CA,139.06,143.84,new postings
2021-09-14,CA,140.49,148.42,new postings
2021-09-15,CA,142.61,153.51,new postings
2021-09-16,CA,145.33,158.68,new postings
2021-09-17,CA,148.11,163.4,new postings
2021-09-18,CA,150.12,167.24,new postings
2021-09-19,CA,153.97,171.04,new postings
2021-09-20,CA,158.49,174.71,new postings
2021-09-21,CA,159.43,174.72,new postings
2021-09-22,CA,160.13,174.52,new postings
2021-09-23,CA,160.48,174.14,new postings
2021-09-24,CA,160.67,173.89,new postings
2021-09-25,CA,161.07,173.72,new postings
2021-09-26,CA,161.4,173.28,new postings
2021-09-27,CA,161.83,172.83,new postings
2021-09-28,CA,161.89,172.28,new postings
2021-09-29,CA,161.52,171.45,new postings
2021-09-30,CA,161.67,170.9,new postings
2021-10-01,CA,161.82,170.06,new postings
2021-10-02,CA,161.62,169.19,new postings
2021-10-03,CA,161.47,168.69,new postings
2021-10-04,CA,160.98,168.14,new postings
2021-10-05,CA,160.95,168.02,new postings
2021-10-06,CA,161.44,168.35,new postings
2021-10-07,CA,161.67,168.63,new postings
2021-10-08,CA,162.03,169.51,new postings
2021-10-09,CA,163.12,170.38,new postings
2021-10-10,CA,164.29,171.16,new postings
2021-10-11,CA,166.67,171.84,new postings
2021-10-12,CA,165.39,168.6,new postings
2021-10-13,CA,163.8,164.68,new postings
2021-10-14,CA,162.16,160.81,new postings
2021-10-15,CA,161.34,157.11,new postings
2021-10-16,CA,159.65,152.98,new postings
2021-10-17,CA,157.82,149.08,new postings
2021-10-18,CA,155.45,145.63,new postings
2021-10-19,CA,156.4,149.29,new postings
2021-10-20,CA,159.63,153.74,new postings
2021-10-21,CA,161.85,157.91,new postings
2021-10-22,CA,163.07,161.39,new postings
2021-10-23,CA,164.74,165.39,new postings
2021-10-24,CA,166.15,169.03,new postings
2021-10-25,CA,166.98,172.28,new postings
2021-10-26,CA,168.2,172.38,new postings
2021-10-27,CA,167.09,171.93,new postings
2021-10-28,CA,166.96,171.44,new postings
2021-10-29,CA,167.34,171.31,new postings
2021-10-30,CA,166.87,170.42,new postings
2021-10-31,CA,167.28,170.04,new postings
2021-11-01,CA,168.33,169.94,new postings
2021-11-02,CA,168.92,169.61,new postings
2021-11-03,CA,169.49,169.49,new postings
2021-11-04,CA,170.13,169.76,new postings
2021-11-05,CA,169.72,169.45,new postings
2021-11-06,CA,169.87,169.61,new postings
2021-11-07,CA,169.34,169.49,new postings
2021-11-08,CA,168.04,169.13,new postings
2021-11-09,CA,167.22,168.71,new postings
2021-11-10,CA,166.44,168.01,new postings
2021-11-11,CA,165.73,167.09,new postings
2021-11-12,CA,165.22,165.47,new postings
2021-11-13,CA,164.18,163.25,new postings
2021-11-14,CA,163.56,161.04,new postings
2021-11-15,CA,163.3,158.89,new postings
2021-11-16,CA,163.37,157.37,new postings
2021-11-17,CA,163.86,156.57,new postings
2021-11-18,CA,164.27,155.86,new postings
2021-11-19,CA,164.27,155.91,new postings
2021-11-20,CA,164.9,156.8,new postings
2021-11-21,CA,165.25,157.71,new postings
2021-11-22,CA,165.55,158.58,new postings
2021-11-23,CA,165.36,158.85,new postings
2021-11-24,CA,164.94,158.77,new postings
2021-11-25,CA,164.33,158.19,new postings
2021-11-26,CA,164.69,157.81,new postings
2021-11-27,CA,164.51,156.6,new postings
2021-11-28,CA,164.45,155.35,new postings
2021-11-29,CA,165.04,154.79,new postings
2021-11-30,CA,165.68,154.24,new postings
2021-12-01,CA,165.65,153,new postings
2021-12-02,CA,165.68,152.23,new postings
2021-12-03,CA,165.32,151.65,new postings
2021-12-04,CA,165.66,151.99,new postings
2021-12-05,CA,165.6,152.04,new postings
2021-12-06,CA,164.86,151.35,new postings
2021-12-07,CA,163.84,150.6,new postings
2021-12-08,CA,163.33,150.22,new postings
2021-12-09,CA,162.86,149.61,new postings
2021-12-10,CA,162.93,148.99,new postings
2021-12-11,CA,162.16,147.15,new postings
2021-12-12,CA,162.17,146.09,new postings
2021-12-13,CA,161.79,144.7,new postings
2021-12-14,CA,161.59,143.34,new postings
2021-12-15,CA,160.99,141.48,new postings
2021-12-16,CA,160.1,139.46,new postings
2021-12-17,CA,159.11,137.44,new postings
2021-12-18,CA,158.88,136.55,new postings
2021-12-19,CA,157.94,134.94,new postings
2021-12-20,CA,157.6,134,new postings
2021-12-21,CA,156.94,132.66,new postings
2021-12-22,CA,156.53,131.7,new postings
2021-12-23,CA,156.23,130.67,new postings
2021-12-24,CA,155.68,129.07,new postings
2021-12-25,CA,153.7,125.18,new postings
2021-12-26,CA,153.07,121.06,new postings
2021-12-27,CA,153.22,116.31,new postings
2021-12-28,CA,152.63,110.01,new postings
2021-12-29,CA,150.59,101.87,new postings
2021-12-30,CA,148.04,93.23,new postings
2021-12-31,CA,144.97,84.4,new postings
2022-01-01,CA,143.08,77.78,new postings
2022-01-02,CA,139.62,71.64,new postings
2022-01-03,CA,132.96,66.07,new postings
2022-01-04,CA,127.21,63.74,new postings
2022-01-05,CA,125.56,66.71,new postings
2022-01-06,CA,126.39,72.21,new postings
2022-01-07,CA,129.11,81.15,new postings
2022-01-08,CA,133.26,92.87,new postings
2022-01-09,CA,136.56,105,new postings
2022-01-10,CA,141.22,117.16,new postings
2022-01-11,CA,147.82,130.14,new postings
2022-01-12,CA,151.93,140.08,new postings
2022-01-13,CA,154.2,148.59,new postings
2022-01-14,CA,155.29,154.42,new postings
2022-01-15,CA,155.39,157.65,new postings
2022-01-16,CA,156.64,160.08,new postings
2022-01-17,CA,158.64,162.45,new postings
2022-01-18,CA,158.35,161.94,new postings
2022-01-19,CA,157.79,161.15,new postings
2022-01-20,CA,157.21,160.04,new postings
2022-01-21,CA,156.81,159.21,new postings
2022-01-22,CA,156.22,158.11,new postings
2022-01-23,CA,155.75,157.52,new postings
2022-01-24,CA,155.17,156.7,new postings
2022-01-25,CA,155.79,157.34,new postings
2022-01-26,CA,156.76,158.27,new postings
2022-01-27,CA,158.33,159.64,new postings
2022-01-28,CA,160.2,161.23,new postings
2022-01-29,CA,162.36,163.43,new postings
2022-01-30,CA,164.66,165.51,new postings
2022-01-31,CA,167.2,167.72,new postings
2022-02-01,CA,168.7,168.95,new postings
2022-02-02,CA,170.12,170.13,new postings
2022-02-03,CA,171.1,171.29,new postings
2022-02-04,CA,172.1,172.56,new postings
2022-02-05,CA,172.54,173.06,new postings
2022-02-06,CA,172.68,173.75,new postings
2022-02-07,CA,172.71,174.46,new postings
2022-02-08,CA,172.94,175.57,new postings
2022-02-09,CA,174.04,176.93,new postings
2022-02-10,CA,174.95,177.97,new postings
2022-02-11,CA,175.31,178.2,new postings
2022-02-12,CA,176.01,178.64,new postings
2022-02-13,CA,176.59,178.75,new postings
2022-02-14,CA,176.91,178.53,new postings
2022-02-15,CA,177.09,177.86,new postings
2022-02-16,CA,177.24,177.64,new postings
2022-02-17,CA,177.78,177.6,new postings
2022-02-18,CA,178.86,177.78,new postings
2022-02-19,CA,179.52,177.5,new postings
2022-02-20,CA,180.96,177.7,new postings
2022-02-21,CA,183.06,178.14,new postings
2022-02-22,CA,182.53,176.33,new postings
2022-02-23,CA,180.62,173.43,new postings
2022-02-24,CA,178.19,170.13,new postings
2022-02-25,CA,174.74,166.68,new postings
2022-02-26,CA,171.59,164.17,new postings
2022-02-27,CA,167.47,161.12,new postings
2022-02-28,CA,162.84,158.16,new postings
2022-03-01,CA,163.68,160.61,new postings
2022-03-02,CA,165.43,163.82,new postings
2022-03-03,CA,167.76,167.76,new postings
2022-03-04,CA,170.75,172.14,new postings
2022-03-05,CA,172.88,175.52,new postings
2022-03-06,CA,175.52,179.19,new postings
2022-03-07,CA,178.22,182.85,new postings
2022-03-08,CA,178.58,183.95,new postings
2022-03-09,CA,178.94,184.68,new postings
2022-03-10,CA,178.45,184.72,new postings
2022-03-11,CA,177.79,184.48,new postings
2022-03-12,CA,178.25,184.93,new postings
2022-03-13,CA,178.46,185.36,new postings
2022-03-14,CA,178.45,185.51,new postings
2022-03-15,CA,178.34,185.58,new postings
2022-03-16,CA,177.99,185.42,new postings
2022-03-17,CA,178.13,185.64,new postings
2022-03-18,CA,178.31,185.93,new postings
2022-03-19,CA,178.1,185.85,new postings
2022-03-20,CA,178.24,185.9,new postings
2022-03-21,CA,178.93,186.25,new postings
2022-03-22,CA,178.7,185.78,new postings
2022-03-23,CA,178.11,185.28,new postings
2022-03-24,CA,177.2,184.57,new postings
2022-03-25,CA,176.64,184.14,new postings
2022-03-26,CA,176.06,183.75,new postings
2022-03-27,CA,175.25,183.1,new postings
2022-03-28,CA,174.4,182.38,new postings
2022-03-29,CA,174.11,182.13,new postings
2022-03-30,CA,174.31,182.18,new postings
2022-03-31,CA,175.29,182.42,new postings
2022-04-01,CA,176.02,182.47,new postings
2022-04-02,CA,176.96,182.69,new postings
2022-04-03,CA,178.35,183.16,new postings
2022-04-04,CA,179.29,183.47,new postings
2022-04-05,CA,180.78,184.34,new postings
2022-04-06,CA,181.71,185.32,new postings
2022-04-07,CA,182.03,186.2,new postings
2022-04-08,CA,182.84,187.35,new postings
2022-04-09,CA,182.3,187.38,new postings
2022-04-10,CA,182.24,187.72,new postings
2022-04-11,CA,182.16,188.2,new postings
2022-04-12,CA,181.86,188.55,new postings
2022-04-13,CA,180.94,188.19,new postings
2022-04-14,CA,180.23,188.1,new postings
2022-04-15,CA,179.01,187.8,new postings
2022-04-16,CA,177.77,185.91,new postings
2022-04-17,CA,175.41,183.13,new postings
2022-04-18,CA,172.63,179.97,new postings
2022-04-19,CA,169.5,175.63,new postings
2022-04-20,CA,167.44,171.89,new postings
2022-04-21,CA,165.62,168.81,new postings
2022-04-22,CA,163.24,165.07,new postings
2022-04-23,CA,166.8,168.65,new postings
2022-04-24,CA,170.59,172.7,new postings
2022-04-25,CA,174.9,177.21,new postings
2022-04-26,CA,179.86,183.2,new postings
2022-04-27,CA,184.29,188.66,new postings
2022-04-28,CA,188.72,193.29,new postings
2022-04-29,CA,193.23,198.19,new postings
2022-04-30,CA,192.73,198.07,new postings
2022-05-01,CA,192.24,197.83,new postings
2022-05-02,CA,191.67,197.59,new postings
2022-05-03,CA,189.91,196.26,new postings
2022-05-04,CA,188.9,195.67,new postings
2022-05-05,CA,187.67,195.2,new postings
2022-05-06,CA,186.8,195.11,new postings
2022-05-07,CA,186.34,195.42,new postings
2022-05-08,CA,185.84,195.58,new postings
2022-05-09,CA,185.39,195.34,new postings
2022-05-10,CA,186.03,195.93,new postings
2022-05-11,CA,185.81,195.49,new postings
2022-05-12,CA,185.89,195.13,new postings
2022-05-13,CA,185.54,194.57,new postings
2022-05-14,CA,185.2,194.01,new postings
2022-05-15,CA,184.92,193.6,new postings
2022-05-16,CA,184.74,193.47,new postings
2022-05-17,CA,184.12,192.79,new postings
2022-05-18,CA,183.9,192.84,new postings
2022-05-19,CA,183.65,192.83,new postings
2022-05-20,CA,184.01,192.94,new postings
2022-05-21,CA,184.25,192.25,new postings
2022-05-22,CA,185.26,191.77,new postings
2022-05-23,CA,186.78,191.12,new postings
2022-05-24,CA,184.45,186.91,new postings
2022-05-25,CA,182.39,182.37,new postings
2022-05-26,CA,179.77,177.27,new postings
2022-05-27,CA,176.75,172.27,new postings
2022-05-28,CA,173.27,167.98,new postings
2022-05-29,CA,169.1,163.57,new postings
2022-05-30,CA,163.68,159.58,new postings
2022-05-31,CA,165.38,163.02,new postings
2022-06-01,CA,167.16,167.09,new postings
2022-06-02,CA,168.94,171.49,new postings
2022-06-03,CA,170.9,175.79,new postings
2022-06-04,CA,174.13,180.91,new postings
2022-06-05,CA,176.99,185.71,new postings
2022-06-06,CA,180.34,190.29,new postings
2022-06-07,CA,180.45,191.3,new postings
2022-06-08,CA,180.33,191.91,new postings
2022-06-09,CA,180.36,192.24,new postings
2022-06-10,CA,179.38,191.5,new postings
2022-06-11,CA,177.8,190.49,new postings
2022-06-12,CA,176.88,189.72,new postings
2022-06-13,CA,176.5,189.17,new postings
2022-06-14,CA,176.59,188.86,new postings
2022-06-15,CA,175.48,187.72,new postings
2022-06-16,CA,174.53,186.72,new postings
2022-06-17,CA,174.67,186.67,new postings
2022-06-18,CA,174.54,186.05,new postings
2022-06-19,CA,174,185.32,new postings
2022-06-20,CA,173.16,184.23,new postings
2022-06-21,CA,171.91,182.66,new postings
2022-06-22,CA,171.99,182.07,new postings
2022-06-23,CA,171.61,181.19,new postings
2022-06-24,CA,171.16,180.15,new postings
2022-06-25,CA,169.88,177.78,new postings
2022-06-26,CA,169,175.58,new postings
2022-06-27,CA,168.34,173.67,new postings
2022-06-28,CA,167.64,171.68,new postings
2022-06-29,CA,166.38,169.09,new postings
2022-06-30,CA,165.98,167.3,new postings
2022-07-01,CA,166.11,166.21,new postings
2022-07-02,CA,165.81,164.23,new postings
2022-07-03,CA,165.41,161.84,new postings
2022-07-04,CA,165.16,159.46,new postings
2022-07-05,CA,164.85,157.34,new postings
2022-07-06,CA,165.09,155.61,new postings
2022-07-07,CA,164.88,153.69,new postings
2022-07-08,CA,163.46,150.79,new postings
2022-07-09,CA,163.99,152.44,new postings
2022-07-10,CA,164.05,154.45,new postings
2022-07-11,CA,163.61,156.33,new postings
2022-07-12,CA,163.46,158.66,new postings
2022-07-13,CA,163.38,161.23,new postings
2022-07-14,CA,162.91,163.13,new postings
2022-07-15,CA,163.38,165.67,new postings
2022-07-16,CA,163.92,166.94,new postings
2022-07-17,CA,164.74,168.22,new postings
2022-07-18,CA,165.47,169.37,new postings
2022-07-19,CA,166.14,170.26,new postings
2022-07-20,CA,166.39,170.62,new postings
2022-07-21,CA,166.76,171.09,new postings
2022-07-22,CA,167.33,171.91,new postings
2022-07-23,CA,166.48,171.08,new postings
2022-07-24,CA,166,170.52,new postings
2022-07-25,CA,165.75,170.06,new postings
2022-07-26,CA,165.17,169.27,new postings
2022-07-27,CA,164.8,168.75,new postings
2022-07-28,CA,164.79,168.66,new postings
2022-07-29,CA,164.34,167.98,new postings
2022-07-30,CA,164.5,167.87,new postings
2022-07-31,CA,164.37,167.38,new postings
2022-08-01,CA,164.13,166.93,new postings
2022-08-02,CA,161.89,164.31,new postings
2022-08-03,CA,160.13,161.75,new postings
2022-08-04,CA,158.01,159,new postings
2022-08-05,CA,156.93,157.45,new postings
2022-08-06,CA,156.37,155.9,new postings
2022-08-07,CA,155.57,154.22,new postings
2022-08-08,CA,155.1,152.67,new postings
2022-08-09,CA,159.31,156.16,new postings
2022-08-10,CA,163.36,160.03,new postings
2022-08-11,CA,168.31,164.33,new postings
2022-08-12,CA,171.94,167.49,new postings
2022-08-13,CA,173.54,171.21,new postings
2022-08-14,CA,174.84,175.01,new postings
2022-08-15,CA,175.97,178.57,new postings
2022-08-16,CA,174.58,179.48,new postings
2022-08-17,CA,172.87,179.93,new postings
2022-08-18,CA,170.24,179.77,new postings
2022-08-19,CA,168.14,180.26,new postings
2022-08-20,CA,167.4,180.31,new postings
2022-08-21,CA,167,180.31,new postings
2022-08-22,CA,166.49,180.45,new postings
2022-08-23,CA,165.98,180.54,new postings
2022-08-24,CA,165.38,180.75,new postings
2022-08-25,CA,164.99,181.1,new postings
2022-08-26,CA,164.59,181.1,new postings
2022-08-27,CA,164.6,181.05,new postings
2022-08-28,CA,164.69,180.85,new postings
2022-08-29,CA,164.97,180.59,new postings
2022-08-30,CA,165.53,180.54,new postings
2022-08-31,CA,166.35,180.44,new postings
2022-09-01,CA,168.22,181.13,new postings
2022-09-02,CA,169.26,181.36,new postings
2022-09-03,CA,170.06,181.63,new postings
2022-09-04,CA,172.96,181.99,new postings
2022-09-05,CA,175.76,182.27,new postings
2022-09-06,CA,174.44,178.74,new postings
2022-09-07,CA,172.63,174.92,new postings
2022-09-08,CA,169.83,170.43,new postings
2022-09-09,CA,167.59,166.58,new postings
2022-09-10,CA,166.08,163.84,new postings
2022-09-11,CA,162.44,161.28,new postings
2022-09-12,CA,157.42,159.09,new postings
2022-09-13,CA,159.41,164.22,new postings
2022-09-14,CA,161.79,169.59,new postings
2022-09-15,CA,164.05,174.7,new postings
2022-09-16,CA,166.12,179.11,new postings
2022-09-17,CA,167.25,181.98,new postings
2022-09-18,CA,168.3,184.69,new postings
2022-09-19,CA,170.59,187.01,new postings
2022-09-20,CA,169.35,185.13,new postings
2022-09-21,CA,168.44,183.45,new postings
2022-09-22,CA,167.95,182.26,new postings
2022-09-23,CA,167.62,181.37,new postings
2022-09-24,CA,167.3,180.73,new postings
2022-09-25,CA,167.54,180.42,new postings
2022-09-26,CA,167.84,179.92,new postings
2022-09-27,CA,169.17,180.32,new postings
2022-09-28,CA,169.79,180.21,new postings
2022-09-29,CA,169.54,179.36,new postings
2022-09-30,CA,169.44,178.41,new postings
2022-10-01,CA,169.5,177.4,new postings
2022-10-02,CA,168.91,176.09,new postings
2022-10-03,CA,168.31,175.11,new postings
2022-10-04,CA,167.08,173.78,new postings
2022-10-05,CA,166.48,173.17,new postings
2022-10-06,CA,166.34,172.91,new postings
2022-10-07,CA,165.93,172.52,new postings
2022-10-08,CA,166.11,173.19,new postings
2022-10-09,CA,166.86,173.78,new postings
2022-10-10,CA,167.6,174.31,new postings
2022-10-11,CA,166.11,171.35,new postings
2022-10-12,CA,164.25,167.75,new postings
2022-10-13,CA,162.89,164.14,new postings
2022-10-14,CA,162.51,161.53,new postings
2022-10-15,CA,161.93,158.12,new postings
2022-10-16,CA,161.1,154.87,new postings
2022-10-17,CA,160.18,151.76,new postings
2022-10-18,CA,165.04,155.5,new postings
2022-10-19,CA,166.49,159.39,new postings
2022-10-20,CA,169.57,163.47,new postings
2022-10-21,CA,170.28,166.09,new postings
2022-10-22,CA,170.04,168.15,new postings
2022-10-23,CA,169.98,170.47,new postings
2022-10-24,CA,169.94,172.69,new postings
2022-10-25,CA,166.17,171.32,new postings
2022-10-26,CA,165.89,170.03,new postings
2022-10-27,CA,163.86,168.8,new postings
2022-10-28,CA,163.03,167.69,new postings
2022-10-29,CA,162.92,167.04,new postings
2022-10-30,CA,162.32,165.94,new postings
2022-10-31,CA,162.1,164.85,new postings
2022-11-01,CA,161.81,163.37,new postings
2022-11-02,CA,161.27,161.88,new postings
2022-11-03,CA,160.57,160.48,new postings
2022-11-04,CA,160.87,160.37,new postings
2022-11-05,CA,161.08,160.65,new postings
2022-11-06,CA,161.26,160.87,new postings
2022-11-07,CA,160.99,161.02,new postings
2022-11-08,CA,161.19,162.09,new postings
2022-11-09,CA,162.03,163.29,new postings
2022-11-10,CA,162.58,164.03,new postings
2022-11-11,CA,162.36,163.76,new postings
2022-11-12,CA,161.41,161.85,new postings
2022-11-13,CA,160.73,159.95,new postings
2022-11-14,CA,160.47,158.14,new postings
2022-11-15,CA,159.83,155.61,new postings
2022-11-16,CA,158.48,152.7,new postings
2022-11-17,CA,157.62,150.51,new postings
2022-11-18,CA,156.99,148.75,new postings
2022-11-19,CA,157.47,149.21,new postings
2022-11-20,CA,157.78,149.8,new postings
2022-11-21,CA,157.74,150.35,new postings
2022-11-22,CA,158.07,151.33,new postings
2022-11-23,CA,158.46,152.28,new postings
2022-11-24,CA,158.88,153.1,new postings
2022-11-25,CA,158.4,152.63,new postings
2022-11-26,CA,157.23,150.68,new postings
2022-11-27,CA,156.3,148.74,new postings
2022-11-28,CA,155.33,146.51,new postings
2022-11-29,CA,154.23,144.13,new postings
2022-11-30,CA,153.33,141.9,new postings
2022-12-01,CA,151.71,139.02,new postings
2022-12-02,CA,150.77,137.24,new postings
2022-12-03,CA,151.22,137.47,new postings
2022-12-04,CA,151.09,137.27,new postings
2022-12-05,CA,151,137.32,new postings
2022-12-06,CA,150.8,137.29,new postings
2022-12-07,CA,150.41,137.19,new postings
2022-12-08,CA,150.51,137.39,new postings
2022-12-09,CA,151.14,137.88,new postings
2022-12-10,CA,150.51,136.67,new postings
2022-12-11,CA,150.37,135.6,new postings
2022-12-12,CA,150.51,134.81,new postings
2022-12-13,CA,150.84,134.05,new postings
2022-12-14,CA,151.47,133.47,new postings
2022-12-15,CA,151.87,132.59,new postings
2022-12-16,CA,151.89,131.46,new postings
2022-12-17,CA,151.9,130.33,new postings
2022-12-18,CA,151.7,129.45,new postings
2022-12-19,CA,151.37,128.38,new postings
2022-12-20,CA,150.65,127.14,new postings
2022-12-21,CA,149.76,125.7,new postings
2022-12-22,CA,148.88,124.38,new postings
2022-12-23,CA,147.69,122.55,new postings
2022-12-24,CA,146.76,120.61,new postings
2022-12-25,CA,146.56,118.39,new postings
2022-12-26,CA,147.69,115.9,new postings
2022-12-27,CA,148.15,111.36,new postings
2022-12-28,CA,147.93,105.28,new postings
2022-12-29,CA,147.36,98.51,new postings
2022-12-30,CA,146.33,91.28,new postings
2022-12-31,CA,144.95,84.03,new postings
2023-01-01,CA,142.48,76.91,new postings
2023-01-02,CA,138.51,70.31,new postings
2023-01-03,CA,134.03,66.82,new postings
2023-01-04,CA,132.06,68.15,new postings
2023-01-05,CA,131.95,72.52,new postings
2023-01-06,CA,134.48,79.82,new postings
2023-01-07,CA,138.54,90.2,new postings
2023-01-08,CA,141.68,100.92,new postings
2023-01-09,CA,143.35,111.48,new postings
2023-01-10,CA,148.26,124.21,new postings
2023-01-11,CA,151.23,133.97,new postings
2023-01-12,CA,152.72,141.69,new postings
2023-01-13,CA,152.32,147.5,new postings
2023-01-14,CA,150.67,150.55,new postings
2023-01-15,CA,150.53,153.56,new postings
2023-01-16,CA,152.1,156.31,new postings
2023-01-17,CA,151.6,156.05,new postings
2023-01-18,CA,151.65,155.82,new postings
2023-01-19,CA,152.01,155.79,new postings
2023-01-20,CA,152,155.25,new postings
2023-01-21,CA,151.95,154.82,new postings
2023-01-22,CA,151.88,154.34,new postings
2023-01-23,CA,151.46,153.91,new postings
2023-01-24,CA,151.42,153.73,new postings
2023-01-25,CA,150.58,152.92,new postings
2023-01-26,CA,149.58,151.88,new postings
2023-01-27,CA,149.1,151.31,new postings
2023-01-28,CA,148.68,150.5,new postings
2023-01-29,CA,147.76,149.53,new postings
2023-01-30,CA,147.16,148.64,new postings
2023-01-31,CA,146.32,147.45,new postings
2023-02-01,CA,145.92,146.82,new postings
2023-02-02,CA,145.76,146.48,new postings
2023-02-03,CA,145.74,146.58,new postings
2023-02-04,CA,145.65,146.85,new postings
2023-02-05,CA,146.09,147.34,new postings
2023-02-06,CA,146.27,148.09,new postings
2023-02-07,CA,146.53,148.98,new postings
2023-02-08,CA,147.77,151.02,new postings
2023-02-09,CA,147.78,151.31,new postings
2023-02-10,CA,147.38,151.17,new postings
2023-02-11,CA,146.71,150.53,new postings
2023-02-12,CA,146.04,149.79,new postings
2023-02-13,CA,145.59,148.77,new postings
2023-02-14,CA,145.19,147.78,new postings
2023-02-15,CA,144.07,145.78,new postings
2023-02-16,CA,144.02,145.3,new postings
2023-02-17,CA,144.11,144.64,new postings
2023-02-18,CA,144.69,144.12,new postings
2023-02-19,CA,145.64,143.96,new postings
2023-02-20,CA,146.73,143.78,new postings
2023-02-21,CA,145.96,141.39,new postings
2023-02-22,CA,144.8,139.02,new postings
2023-02-23,CA,143.65,136.96,new postings
2023-02-24,CA,142.31,134.79,new postings
2023-02-25,CA,140.93,133.49,new postings
2023-02-26,CA,138.58,131.74,new postings
2023-02-27,CA,135.87,130.1,new postings
2023-02-28,CA,136.6,132.42,new postings
2023-03-01,CA,137,134.4,new postings
2023-03-02,CA,137.23,136.04,new postings
2023-03-03,CA,137.44,137.83,new postings
2023-03-04,CA,137.15,138.8,new postings
2023-03-05,CA,137.07,139.97,new postings
2023-03-06,CA,137.12,141.13,new postings
2023-03-07,CA,135.65,140.68,new postings
2023-03-08,CA,134.96,140.65,new postings
2023-03-09,CA,134.28,140.31,new postings
2023-03-10,CA,135.14,141.81,new postings
2023-03-11,CA,136.51,143.73,new postings
2023-03-12,CA,138.13,145.49,new postings
2023-03-13,CA,139.7,147.16,new postings
2023-03-14,CA,141.05,148.58,new postings
2023-03-15,CA,142.21,149.91,new postings
2023-03-16,CA,143.1,150.97,new postings
2023-03-17,CA,142.44,150.22,new postings
2023-03-18,CA,141.48,149.24,new postings
2023-03-19,CA,140.55,148.24,new postings
2023-03-20,CA,139.8,147.36,new postings
2023-03-21,CA,139.15,146.42,new postings
2023-03-22,CA,138.22,145.34,new postings
2023-03-23,CA,137.61,144.84,new postings
2023-03-24,CA,137.59,145.01,new postings
2023-03-25,CA,137.93,145.4,new postings
2023-03-26,CA,138.25,145.8,new postings
2023-03-27,CA,138.55,146.24,new postings
2023-03-28,CA,138.68,146.39,new postings
2023-03-29,CA,139.09,146.72,new postings
2023-03-30,CA,139.59,147.02,new postings
2023-03-31,CA,139.45,146.17,new postings
2023-04-01,CA,139.46,145.57,new postings
2023-04-02,CA,139.68,145.15,new postings
2023-04-03,CA,139.98,144.63,new postings
2023-04-04,CA,140.8,144.88,new postings
2023-04-05,CA,142.02,145.58,new postings
2023-04-06,CA,142.51,146.39,new postings
2023-04-07,CA,143.01,148.06,new postings
2023-04-08,CA,142.5,146.96,new postings
2023-04-09,CA,141.36,145.61,new postings
2023-04-10,CA,139.79,143.9,new postings
2023-04-11,CA,136.91,140.4,new postings
2023-04-12,CA,132.73,136,new postings
2023-04-13,CA,128.63,131.93,new postings
2023-04-14,CA,125.67,128.7,new postings
2023-04-15,CA,124.78,128.94,new postings
2023-04-16,CA,124.77,129.92,new postings
2023-04-17,CA,125.28,131.29,new postings
2023-04-18,CA,127.73,135.2,new postings
2023-04-19,CA,131.45,139.81,new postings
2023-04-20,CA,135.5,143.42,new postings
2023-04-21,CA,138.73,145.93,new postings
2023-04-22,CA,140.84,147.45,new postings
2023-04-23,CA,142.63,148.47,new postings
2023-04-24,CA,143.97,149.34,new postings
2023-04-25,CA,144.05,148.93,new postings
2023-04-26,CA,143.65,148.21,new postings
2023-04-27,CA,143.28,147.94,new postings
2023-04-28,CA,142.49,147.14,new postings
2023-04-29,CA,141.4,146.47,new postings
2023-04-30,CA,140.21,145.64,new postings
2023-05-01,CA,139.2,144.93,new postings
2023-05-02,CA,138.75,144.88,new postings
2023-05-03,CA,138.26,144.92,new postings
